# channel flip probability,# message length,# bit error probability,# rate
0.4,4,0.4225,0.190476190476
0.4,40,0.38275,0.190476190476
0.4,400,0.383325,0.190476190476
0.4,4000,0.38204,0.190476190476
0.4,40000,0.3826605,0.190476190476
0.1,4,0.02,0.190476190476
0.1,40,0.03075,0.190476190476
0.1,400,0.030825,0.190476190476
0.1,4000,0.029595,0.190476190476
0.1,40000,0.02926425,0.190476190476
0.01,4,0.0,0.190476190476
0.01,40,0.0,0.190476190476
0.01,400,0.00035,0.190476190476
0.01,4000,0.0004125,0.190476190476
0.01,40000,0.00030175,0.190476190476
0.001,4,0.0,0.190476190476
0.001,40,0.0,0.190476190476
0.001,400,0.0,0.190476190476
0.001,4000,5e-06,0.190476190476
0.001,40000,2.5e-06,0.190476190476
