# channel flip probability,# message length,# bit error probability,# rate
0.4,4,0.3675,0.190476190476
0.4,40,0.3755,0.190476190476
0.4,400,0.384625,0.190476190476
0.4,4000,0.3828425,0.190476190476
0.4,40000,0.3830005,0.190476190476
0.1,4,0.045,0.190476190476
0.1,40,0.02575,0.190476190476
0.1,400,0.02875,0.190476190476
0.1,4000,0.0295375,0.190476190476
0.1,40000,0.029242,0.190476190476
0.01,4,0.0,0.190476190476
0.01,40,0.0005,0.190476190476
0.01,400,0.00035,0.190476190476
0.01,4000,0.000355,0.190476190476
0.01,40000,0.00031425,0.190476190476
0.001,4,0.0,0.190476190476
0.001,40,0.0,0.190476190476
0.001,400,0.0,0.190476190476
0.001,4000,1.5e-05,0.190476190476
0.001,40000,2.5e-06,0.190476190476
