# channel flip probability,# message length,# bit error probability,# rate
0.4,4,0.3675,0.571428571429
0.4,40,0.42025,0.571428571429
0.4,400,0.42115,0.571428571429
0.4,4000,0.422885,0.571428571429
0.4,40000,0.42286325,0.571428571429
0.1,4,0.1325,0.571428571429
0.1,40,0.112,0.571428571429
0.1,400,0.11555,0.571428571429
0.1,4000,0.11281,0.571428571429
0.1,40000,0.11281175,0.571428571429
0.01,4,0.0,0.571428571429
0.01,40,0.0135,0.571428571429
0.01,400,0.01055,0.571428571429
0.01,4000,0.01048,0.571428571429
0.01,40000,0.010282,0.571428571429
0.001,4,0.0,0.571428571429
0.001,40,0.0015,0.571428571429
0.001,400,0.00125,0.571428571429
0.001,4000,0.001,0.571428571429
0.001,40000,0.0009915,0.571428571429
