# channel flip probability,# message length,# bit error probability,# rate
0.4,4,0.3825,0.190476190476
0.4,40,0.385,0.190476190476
0.4,400,0.38705,0.190476190476
0.4,4000,0.390005,0.190476190476
0.4,40000,0.389411,0.190476190476
0.1,4,0.0675,0.190476190476
0.1,40,0.06575,0.190476190476
0.1,400,0.06445,0.190476190476
0.1,4000,0.06429,0.190476190476
0.1,40000,0.064571,0.190476190476
0.01,4,0.0075,0.190476190476
0.01,40,0.006,0.190476190476
0.01,400,0.005225,0.190476190476
0.01,4000,0.00508,0.190476190476
0.01,40000,0.005052,0.190476190476
0.001,4,0.0,0.190476190476
0.001,40,0.0005,0.190476190476
0.001,400,0.000525,0.190476190476
0.001,4000,0.000505,0.190476190476
0.001,40000,0.000508,0.190476190476
