# channel flip probability,# message length,# bit error probability,# rate
0.4,4,0.4075,0.190476190476
0.4,40,0.3935,0.190476190476
0.4,400,0.3929,0.190476190476
0.4,4000,0.389595,0.190476190476
0.4,40000,0.389885,0.190476190476
0.1,4,0.03,0.190476190476
0.1,40,0.06025,0.190476190476
0.1,400,0.06185,0.190476190476
0.1,4000,0.0647975,0.190476190476
0.1,40000,0.06481325,0.190476190476
0.01,4,0.0025,0.190476190476
0.01,40,0.005,0.190476190476
0.01,400,0.00515,0.190476190476
0.01,4000,0.005075,0.190476190476
0.01,40000,0.0051465,0.190476190476
0.001,4,0.0025,0.190476190476
0.001,40,0.00025,0.190476190476
0.001,400,0.000525,0.190476190476
0.001,4000,0.000525,0.190476190476
0.001,40000,0.00049925,0.190476190476
