# channel flip probability,# message length,# bit error probability,# rate
0.4,4,0.3375,0.333333333333
0.4,40,0.3505,0.333333333333
0.4,400,0.3568,0.333333333333
0.4,4000,0.351595,0.333333333333
0.4,40000,0.3520545,0.333333333333
0.1,4,0.0225,0.333333333333
0.1,40,0.02525,0.333333333333
0.1,400,0.028025,0.333333333333
0.1,4000,0.027355,0.333333333333
0.1,40000,0.0279555,0.333333333333
0.01,4,0.0,0.333333333333
0.01,40,0.00025,0.333333333333
0.01,400,0.000275,0.333333333333
0.01,4000,0.0003275,0.333333333333
0.01,40000,0.00030425,0.333333333333
0.001,4,0.0,0.333333333333
0.001,40,0.0,0.333333333333
0.001,400,0.0,0.333333333333
0.001,4000,2.5e-06,0.333333333333
0.001,40000,3.5e-06,0.333333333333
